"genome"	"BioProject"	"host_std"	"type_std"	"locale_std"	"year_std"	"yrmnth_std"	"serovar"	"species"
"SRR10298819"	"SRR10298819"	"PRJNA481328"	"dog"	"colon"	"USA:IN"	2019	"2019-04"	"Enteritidis"	" enterica (subspecies I)"
"SRR10512520"	"SRR10512520"	"PRJNA481328"	"dog"	"feces"	"USA:IL"	2019	"2019-01"	"Hartford"	" enterica (subspecies I)"
"SRR10963169"	"SRR10963169"	"PRJNA324575"	"dog"	"feces"	"USA:KY"	2019	"2019-05"	"Norwich"	" enterica (subspecies I)"
"SRR10995705"	"SRR10995705"	"PRJNA324575"	"dog"	"csf"	"USA:TX"	2019	"2019-08"	"IV 43:z4,z32:-"	" houtenae (subspecies IV)"
"SRR10995706"	"SRR10995706"	"PRJNA324575"	"dog"	"urine"	"USA:TX"	2019	"2019-08"	"IV 43:z4,z32:-"	" houtenae (subspecies IV)"
"SRR11068400"	"SRR11068400"	"PRJNA324575"	"dog"	"draining tract"	"USA:PA"	2019	"2019-07"	"Schwarzengrund"	" enterica (subspecies I)"
"SRR11068401"	"SRR11068401"	"PRJNA324575"	"dog"	"feces"	"USA:PA"	2019	"2019-07"	"Javiana"	" enterica (subspecies I)"
"SRR11319451"	"SRR11319451"	"PRJNA324575"	"dog"	"mammary gland"	"USA:TX"	2019	"2019-10"	"Newport"	" enterica (subspecies I)"
"SRR11319452"	"SRR11319452"	"PRJNA324575"	"dog"	"urine"	"USA:TX"	2019	"2019-10"	"IV 43:z4,z32:-"	" houtenae (subspecies IV)"
"SRR12271055"	"SRR12271055"	"PRJNA324575"	"dog"	"feces"	"USA:TX"	2020	"2020-03"	"Schwarzengrund"	" enterica (subspecies I)"
"SRR12641661"	"SRR12641661"	"PRJNA324575"	"dog"	"feces"	"USA:PA"	2020	"2020-04"	"Enteritidis"	" enterica (subspecies I)"
"SRR12739110"	"SRR12739110"	"PRJNA324570"	"dog"	"intestine"	"USA:GA"	2020	"2020-01"	"Anatum"	" enterica (subspecies I)"
"SRR13510233"	"SRR13510233"	"PRJNA316452"	"dog"	"urine"	"USA:GA"	2020	"2020-02"	"Inverness"	" enterica (subspecies I)"
"SRR13827088"	"SRR13827088"	"PRJNA324575"	"dog"	"colon"	"USA:KS"	2020	"2020-07"	"Typhimurium"	" enterica (subspecies I)"
"SRR13827091"	"SRR13827091"	"PRJNA324575"	"dog"	"feces"	"USA:TX"	2020	"2020-09"	"Anatum"	" enterica (subspecies I)"
"SRR13827092"	"SRR13827092"	"PRJNA324575"	"dog"	"feces"	"USA:TX"	2020	"2020-07"	"Newport"	" enterica (subspecies I)"
"SRR14095472"	"SRR14095472"	"PRJNA324575"	"dog"	"stifle fluid"	"USA:KY"	2020	"2020-08"	"Typhimurium"	" enterica (subspecies I)"
"SRR14466819"	"SRR14466819"	"PRJNA481328"	"dog"	"lymph node"	"USA:KY"	2020	"2020-07"	"Hartford"	" enterica (subspecies I)"
"SRR14704455"	"SRR14704455"	"PRJNA324575"	"dog"	"feces"	"USA:TX"	2020	"2020-07"	"Enteritidis"	" enterica (subspecies I)"
"SRR15050789"	"SRR15050789"	"PRJNA324575"	"dog"	"feces"	"USA:KS"	2021	"2021-03"	"Newport"	" enterica (subspecies I)"
"SRR15050790"	"SRR15050790"	"PRJNA324575"	"dog"	"feces"	"USA:KS"	2021	"2021-01"	"I 4,[5],12:i:-"	" enterica (subspecies I)"
"SRR15050791"	"SRR15050791"	"PRJNA324575"	"dog"	"feces"	"USA:KS"	2021	"2021-01"	"Anatum"	" enterica (subspecies I)"
"SRR15103296"	"SRR15103296"	"PRJNA324575"	"dog"	"feces"	"USA:KY"	2021	"2021-03"	"Infantis"	" enterica (subspecies I)"
"SRR15146556"	"SRR15146556"	"PRJNA316452"	"dog"	"feces"	"USA:IN"	2020	"2020-07"	"Agbeni"	" enterica (subspecies I)"
"SRR15277966"	"SRR15277966"	"PRJNA324575"	"dog"	"feces"	"USA:TX"	2021	"2021-03"	"Infantis"	" enterica (subspecies I)"
"SRR15712211"	"SRR15712211"	"PRJNA324570"	"dog"	"urine"	"USA:FL"	2020	"2020-11"	"Newport"	" enterica (subspecies I)"
"SRR16005866"	"SRR16005866"	"PRJNA324575"	"dog"	"lymph node"	"USA:TX"	2021	"2021-05"	"Infantis"	" enterica (subspecies I)"
"SRR16005867"	"SRR16005867"	"PRJNA324575"	"dog"	"feces"	"USA:TX"	2021	"2021-05"	"Newport"	" enterica (subspecies I)"
"SRR16005869"	"SRR16005869"	"PRJNA324575"	"dog"	"feces"	"USA:KY"	2021	"2021-06"	"Muenchen"	" enterica (subspecies I)"
"SRR16005870"	"SRR16005870"	"PRJNA324575"	"dog"	"feces"	"USA:KY"	2021	"2021-04"	"Infantis"	" enterica (subspecies I)"
"SRR16506860"	"SRR16506860"	"PRJNA316457"	"dog"	"abscess"	"USA:OK"	2020	"2020-01"	"Anatum"	" enterica (subspecies I)"
"SRR16965273"	"SRR16965273"	"PRJNA324570"	"dog"	"urine"	"USA:FL"	2021	"2021-01"	"IV 48:g,z51:-"	" houtenae (subspecies IV)"
"SRR17115413"	"SRR17115413"	"PRJNA481328"	"dog"	"skin"	"USA:MO"	2021	"2021-03"	"Dublin"	" enterica (subspecies I)"
"SRR17230658"	"SRR17230658"	"PRJNA324575"	"dog"	"blood"	"USA:ND"	2021	"2021-05"	"Oranienburg"	" enterica (subspecies I)"
"SRR17468272"	"SRR17468272"	"PRJNA316457"	"dog"	"urine"	"USA:OK"	2021	"2021-04"	"Newport"	" enterica (subspecies I)"
"SRR17468275"	"SRR17468275"	"PRJNA316457"	"dog"	"ear"	"USA:NC"	2021	"2021-05"	"I -:r:1,5"	" enterica (subspecies I)"
"SRR17518188"	"SRR17518188"	"PRJNA316457"	"dog"	"intestine"	"USA:OK"	2021	"2021-08"	"Litchfield"	" enterica (subspecies I)"
"SRR17720340"	"SRR17720340"	"PRJNA324575"	"dog"	"abscess"	"USA:KS"	2021	"2021-09"	"Montevideo"	" enterica (subspecies I)"
