Bioproject	ID	Host	Location	pID	Serotype
PRJNA503850	SRR11901858	Dog	Canada	Sal1	I 4:b:-
PRJNA503850	SRR15053938	Dog	Canada:Prince Edward Island	Sal10	Hadar
PRJNA503850	SRR15053931	Dog	Canada:Prince Edward Island	Sal11	Uganda
PRJNA503850	SRR15053932	Dog	Canada:Prince Edward Island	Sal12	"I 4,[5],12:i:-"
PRJNA503850	SRR12740302	Dog	Canada:Saskatchewan	Sal13	Braenderup
PRJNA503850	SRR12740292	Dog	Canada:Prince Edward Island	Sal14	"I -:d:l,w"
PRJNA503850	SRR12741658	Dog	Canada:Manitoba	Sal15	Typhimurium
PRJNA481328	SRR10512520	Dog	USA:IL	Sal16	Hartford
PRJNA481328	SRR10298819	Dog	USA:IN	Sal17	Enteritidis
PRJNA481328	SRR14466819	Dog	USA: KY	Sal18	Hartford
PRJNA324575	SRR10963169	Dog	USA:KY	Sal19	Norwich
PRJNA503850	SRR10992313	Dog	Canada	Sal2	Give
PRJNA324575	SRR10947452	Dog	USA:TX	Sal20	Typhimurium
PRJNA324575	SRR10947711	Dog	USA:TX	Sal21	Mbandaka
PRJNA324575	SRR10947455	Dog	USA:TX	Sal22	Braenderup
PRJNA324575	SRR6814919	Dog	USA:PA	Sal23	"I 4,[5],12:i:-"
PRJNA324575	SRR10947519	Dog	USA:TX	Sal24	IIIb 48:i:z
PRJNA324575	SRR10947526	Dog	USA:TX	Sal25	"IIIa 40:z4,z32:-"
PRJNA324575	SRR13827091	Dog	USA:TX	Sal26	Anatum
PRJNA324575	SRR11068401	Dog	USA:PA	Sal27	Javiana
PRJNA324575	SRR13827092	Dog	USA:TX	Sal28	Newport
PRJNA324575	SRR11319451	Dog	USA:TX	Sal29	Newport
PRJNA503850	SRR11901857	Dog	Canada	Sal3	Enteritidis
PRJNA324575	SRR10995705	Dog	USA:TX	Sal30	"IV 43:z4,z32:-"
PRJNA324575	SRR10995706	Dog	USA:TX	Sal31	"IV -:z4,z32:-"
PRJNA324575	SRR15277966	Dog	USA:TX	Sal32	Infantis
PRJNA324575	SRR15050791	Dog	USA:KS	Sal33	Anatum
PRJNA324575	SRR14704455	Dog	USA:TX	Sal34	Enteritidis
PRJNA324575	SRR15050789	Dog	USA:KS	Sal35	Newport
