Sample name	Output directory	Input files	O antigen prediction	H1 antigen prediction(fliC)	H2 antigen prediction(fljB)	Predicted identification	Predicted antigenic profile	Predicted serotype	Note
SRR10298819_novel-alleles.fasta	/storage/group/evk5387/default/sophia_kenney/dogsalmonella/2.0-sero/seqsero/SRR10298819_novel-alleles.fasta_seqsero	SRR10298819_novel-alleles.fasta	-	-	-	-	-:-:-	- -:-:-	The input genome cannot be identified as Salmonella. Check the input for taxonomic ID, contamination, or sequencing quality. 
Sample name	Output directory	Input files	O antigen prediction	H1 antigen prediction(fliC)	H2 antigen prediction(fljB)	Predicted identification	Predicted antigenic profile	Predicted serotype	Note
SRR10298819	/storage/group/evk5387/default/sophia_kenney/dogsalmonella/2.0-sero/seqsero/SRR10298819_seqsero	SRR10298819_assembly.fasta	9	g,m	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,m:-	Enteritidis	Detected Sdf I that is characteristic of commonly circulating strains of serotype Enteritidis. 
Sample name	Output directory	Input files	O antigen prediction	H1 antigen prediction(fliC)	H2 antigen prediction(fljB)	Predicted identification	Predicted antigenic profile	Predicted serotype	Note
SRR10512520_novel-alleles.fasta	/storage/group/evk5387/default/sophia_kenney/dogsalmonella/2.0-sero/seqsero/SRR10512520_novel-alleles.fasta_seqsero	SRR10512520_novel-alleles.fasta	-	-	-	-	-:-:-	- -:-:-	The input genome cannot be identified as Salmonella. Check the input for taxonomic ID, contamination, or sequencing quality. 
Sample name	Output directory	Input files	O antigen prediction	H1 antigen prediction(fliC)	H2 antigen prediction(fljB)	Predicted identification	Predicted antigenic profile	Predicted serotype	Note
SRR10512520	/storage/group/evk5387/default/sophia_kenney/dogsalmonella/2.0-sero/seqsero/SRR10512520_seqsero	SRR10512520_assembly.fasta	7	y	e,n,x	Salmonella enterica subspecies enterica (subspecies I)	7:y:e,n,x	Hartford	
Sample name	Output directory	Input files	O antigen prediction	H1 antigen prediction(fliC)	H2 antigen prediction(fljB)	Predicted identification	Predicted antigenic profile	Predicted serotype	Note
SRR10963169_novel-alleles.fasta	/storage/group/evk5387/default/sophia_kenney/dogsalmonella/2.0-sero/seqsero/SRR10963169_novel-alleles.fasta_seqsero	SRR10963169_novel-alleles.fasta	-	-	-	-	-:-:-	- -:-:-	The input genome cannot be identified as Salmonella. Check the input for taxonomic ID, contamination, or sequencing quality. 
Sample name	Output directory	Input files	O antigen prediction	H1 antigen prediction(fliC)	H2 antigen prediction(fljB)	Predicted identification	Predicted antigenic profile	Predicted serotype	Note
SRR10963169	/storage/group/evk5387/default/sophia_kenney/dogsalmonella/2.0-sero/seqsero/SRR10963169_seqsero	SRR10963169_assembly.fasta	7	e,h	1,6	Salmonella enterica subspecies enterica (subspecies I)	7:e,h:1,6	Norwich	
Sample name	Output directory	Input files	O antigen prediction	H1 antigen prediction(fliC)	H2 antigen prediction(fljB)	Predicted identification	Predicted antigenic profile	Predicted serotype	Note
