"Sample name" "O antigen prediction" "H1 antigen prediction(fliC)" "H2 antigen prediction(fljB)" "Predicted identification" "Predicted antigenic profile" "Predicted serotype" "Note" "Host"
"1" "SRR5360696" "9" "g,m" "-" "Salmonella enterica subspecies enterica (subspecies I)" "9:g,m:-" "Enteritidis" "Detected Sdf I that is characteristic of commonly circulating strains of serotype Enteritidis." "Human"
"2" "SRR5574804" "4" "i" "1,2" "Salmonella enterica subspecies enterica (subspecies I)" "4:i:1,2" "Typhimurium" "Detected a deletion in gene oafA that causes O5- variant of Typhimurium." "Human"
"3" "SRR5574805" "9" "g,m" "-" "Salmonella enterica subspecies enterica (subspecies I)" "9:g,m:-" "Enteritidis" "Detected Sdf I that is characteristic of commonly circulating strains of serotype Enteritidis." "Human"
"4" "SRR5574821" "4" "f,g,s" "-" "Salmonella enterica subspecies enterica (subspecies I)" "4:f,g,s:-" "Agona" NA "Human"
"5" "SRR5574822" "8" "l,v" "1,2" "Salmonella enterica subspecies enterica (subspecies I)" "8:l,v:1,2" "Litchfield" NA "Human"
"6" "SRR5574823" "7" "m,t" "-" "Salmonella enterica subspecies enterica (subspecies I)" "7:m,t:-" "Oranienburg" NA "Human"
"7" "SRR5574829" "9" "l,z28" "1,5" "Salmonella enterica subspecies enterica (subspecies I)" "9:l,z28:1,5" "Javiana" NA "Human"
"8" "SRR5574830" "9" "g,m" "-" "Salmonella enterica subspecies enterica (subspecies I)" "9:g,m:-" "Enteritidis" "Detected Sdf I that is characteristic of commonly circulating strains of serotype Enteritidis." "Human"
"9" "SRR5574834" "9" "l,v" "1,5" "Salmonella enterica subspecies enterica (subspecies I)" "9:l,v:1,5" "Panama" NA "Human"
"10" "SRR5574838" "9" "g,m" "-" "Salmonella enterica subspecies enterica (subspecies I)" "9:g,m:-" "Enteritidis" "Detected Sdf I that is characteristic of commonly circulating strains of serotype Enteritidis." "Human"
"11" "SRR5605756" "9" "g,m" "-" "Salmonella enterica subspecies enterica (subspecies I)" "9:g,m:-" "Enteritidis" "Detected Sdf I that is characteristic of commonly circulating strains of serotype Enteritidis." "Human"
"12" "SRR5631276" "9" "g,m" "-" "Salmonella enterica subspecies enterica (subspecies I)" "9:g,m:-" "Enteritidis" "Detected Sdf I that is characteristic of commonly circulating strains of serotype Enteritidis." "Human"
"13" "SRR5631283" "4" "i" "1,2" "Salmonella enterica subspecies enterica (subspecies I)" "4:i:1,2" "Typhimurium" NA "Human"
"14" "SRR5631284" "4" "i" "1,2" "Salmonella enterica subspecies enterica (subspecies I)" "4:i:1,2" "Typhimurium" NA "Human"
"15" "SRR5631285" "9" "a" "1,5" "Salmonella enterica subspecies enterica (subspecies I)" "9:a:1,5" "Miami" NA "Human"
"16" "SRR5631296" "7" "k" "1,5" "Salmonella enterica subspecies enterica (subspecies I)" "7:k:1,5" "Thompson" NA "Human"
"17" "SRR10037210" "9" "g,m" "-" "Salmonella enterica subspecies enterica (subspecies I)" "9:g,m:-" "Enteritidis" "Detected Sdf I that is characteristic of commonly circulating strains of serotype Enteritidis." "Dog"
"18" "SRR10298819" "9" "g,m" "-" "Salmonella enterica subspecies enterica (subspecies I)" "9:g,m:-" "Enteritidis" "Detected Sdf I that is characteristic of commonly circulating strains of serotype Enteritidis." "Dog"
"19" "SRR10512520" "7" "y" "e,n,x" "Salmonella enterica subspecies enterica (subspecies I)" "7:y:e,n,x" "Hartford" NA "Dog"
"20" "SRR10947452" "4" "i" "1,2" "Salmonella enterica subspecies enterica (subspecies I)" "4:i:1,2" "Typhimurium" NA "Dog"
"21" "SRR10947455" "7" "e,h" "e,n,z15" "Salmonella enterica subspecies enterica (subspecies I)" "7:e,h:e,n,z15" "Braenderup" NA "Dog"
"22" "SRR10947519" "48" "i" "z" "Salmonella enterica subspecies diarizonae (subspecies IIIb)" "48:i:z" "IIIb 48:i:z" NA "Dog"
"23" "SRR10947526" "40" "z4,z32" "-" "Salmonella enterica subspecies arizonae (subspecies IIIa)" "40:z4,z32:-" "IIIa 40:z4,z32:-" NA "Dog"
"24" "SRR10947711" "7" "z10" "e,n,z15" "Salmonella enterica subspecies enterica (subspecies I)" "7:z10:e,n,z15" "Mbandaka" NA "Dog"
"25" "SRR10963169" "7" "e,h" "1,6" "Salmonella enterica subspecies enterica (subspecies I)" "7:e,h:1,6" "Norwich" NA "Dog"
"26" "SRR10992313" "3,10" "l,v" "1,7" "Salmonella enterica subspecies enterica (subspecies I)" "3,10:l,v:1,7" "Give" NA "Dog"
"27" "SRR10995705" "43" "z4,z32" "-" "Salmonella enterica subspecies houtenae (subspecies IV)" "43:z4,z32:-" "IV 43:z4,z32:-" NA "Dog"
