Sample name	Output directory	Input files	O antigen prediction	H1 antigen prediction(fliC)	H2 antigen prediction(fljB)	Predicted identification	Predicted antigenic profile	Predicted serotype	Note
SRR5360696_contigs.fasta	/gpfs/scratch/smk459/554/human/2_assemblies/3_seqsero	SRR5360696_contigs.fasta	9	g,m	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,m:-	Enteritidis	Detected Sdf I that is characteristic of commonly circulating strains of serotype Enteritidis. 
Sample name	Output directory	Input files	O antigen prediction	H1 antigen prediction(fliC)	H2 antigen prediction(fljB)	Predicted identification	Predicted antigenic profile	Predicted serotype	Note
SRR5574804	/gpfs/scratch/smk459/554/human/2_assemblies/SRR5574804_seqsero	SRR5574804_contigs.fasta	4	i	1,2	Salmonella enterica subspecies enterica (subspecies I)	4:i:1,2	Typhimurium	Detected a deletion in gene oafA that causes O5- variant of Typhimurium. 
Sample name	Output directory	Input files	O antigen prediction	H1 antigen prediction(fliC)	H2 antigen prediction(fljB)	Predicted identification	Predicted antigenic profile	Predicted serotype	Note
SRR5574805	/gpfs/scratch/smk459/554/human/2_assemblies/SRR5574805_seqsero	SRR5574805_contigs.fasta	9	g,m	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,m:-	Enteritidis	Detected Sdf I that is characteristic of commonly circulating strains of serotype Enteritidis. 
Sample name	Output directory	Input files	O antigen prediction	H1 antigen prediction(fliC)	H2 antigen prediction(fljB)	Predicted identification	Predicted antigenic profile	Predicted serotype	Note
SRR5574821	/gpfs/scratch/smk459/554/human/2_assemblies/SRR5574821_seqsero	SRR5574821_contigs.fasta	4	f,g,s	-	Salmonella enterica subspecies enterica (subspecies I)	4:f,g,s:-	Agona	
Sample name	Output directory	Input files	O antigen prediction	H1 antigen prediction(fliC)	H2 antigen prediction(fljB)	Predicted identification	Predicted antigenic profile	Predicted serotype	Note
SRR5574822	/gpfs/scratch/smk459/554/human/2_assemblies/SRR5574822_seqsero	SRR5574822_contigs.fasta	8	l,v	1,2	Salmonella enterica subspecies enterica (subspecies I)	8:l,v:1,2	Litchfield	
Sample name	Output directory	Input files	O antigen prediction	H1 antigen prediction(fliC)	H2 antigen prediction(fljB)	Predicted identification	Predicted antigenic profile	Predicted serotype	Note
SRR5574823	/gpfs/scratch/smk459/554/human/2_assemblies/SRR5574823_seqsero	SRR5574823_contigs.fasta	7	m,t	-	Salmonella enterica subspecies enterica (subspecies I)	7:m,t:-	Oranienburg	
Sample name	Output directory	Input files	O antigen prediction	H1 antigen prediction(fliC)	H2 antigen prediction(fljB)	Predicted identification	Predicted antigenic profile	Predicted serotype	Note
SRR5574829	/gpfs/scratch/smk459/554/human/2_assemblies/SRR5574829_seqsero	SRR5574829_contigs.fasta	9	l,z28	1,5	Salmonella enterica subspecies enterica (subspecies I)	9:l,z28:1,5	Javiana	
Sample name	Output directory	Input files	O antigen prediction	H1 antigen prediction(fliC)	H2 antigen prediction(fljB)	Predicted identification	Predicted antigenic profile	Predicted serotype	Note
SRR5574830	/gpfs/scratch/smk459/554/human/2_assemblies/SRR5574830_seqsero	SRR5574830_contigs.fasta	9	g,m	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,m:-	Enteritidis	Detected Sdf I that is characteristic of commonly circulating strains of serotype Enteritidis. 
Sample name	Output directory	Input files	O antigen prediction	H1 antigen prediction(fliC)	H2 antigen prediction(fljB)	Predicted identification	Predicted antigenic profile	Predicted serotype	Note
SRR5574834	/gpfs/scratch/smk459/554/human/2_assemblies/SRR5574834_seqsero	SRR5574834_contigs.fasta	9	l,v	1,5	Salmonella enterica subspecies enterica (subspecies I)	9:l,v:1,5	Panama	
Sample name	Output directory	Input files	O antigen prediction	H1 antigen prediction(fliC)	H2 antigen prediction(fljB)	Predicted identification	Predicted antigenic profile	Predicted serotype	Note
SRR5574838	/gpfs/scratch/smk459/554/human/2_assemblies/SRR5574838_seqsero	SRR5574838_contigs.fasta	9	g,m	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,m:-	Enteritidis	Detected Sdf I that is characteristic of commonly circulating strains of serotype Enteritidis. 
Sample name	Output directory	Input files	O antigen prediction	H1 antigen prediction(fliC)	H2 antigen prediction(fljB)	Predicted identification	Predicted antigenic profile	Predicted serotype	Note
SRR5605756	/gpfs/scratch/smk459/554/human/2_assemblies/SRR5605756_seqsero	SRR5605756_contigs.fasta	9	g,m	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,m:-	Enteritidis	Detected Sdf I that is characteristic of commonly circulating strains of serotype Enteritidis. 
Sample name	Output directory	Input files	O antigen prediction	H1 antigen prediction(fliC)	H2 antigen prediction(fljB)	Predicted identification	Predicted antigenic profile	Predicted serotype	Note
SRR5631276	/gpfs/scratch/smk459/554/human/2_assemblies/SRR5631276_seqsero	SRR5631276_contigs.fasta	9	g,m	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,m:-	Enteritidis	Detected Sdf I that is characteristic of commonly circulating strains of serotype Enteritidis. 
Sample name	Output directory	Input files	O antigen prediction	H1 antigen prediction(fliC)	H2 antigen prediction(fljB)	Predicted identification	Predicted antigenic profile	Predicted serotype	Note
SRR5631283	/gpfs/scratch/smk459/554/human/2_assemblies/SRR5631283_seqsero	SRR5631283_contigs.fasta	4	i	1,2	Salmonella enterica subspecies enterica (subspecies I)	4:i:1,2	Typhimurium	
