#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
SRR10298819_assembly.fasta	1	14395	15585	+	BCR	1-1191/1191	===============	0/0	100.00	80.77	megares	MEG_1210	Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_MFS_efflux_pumps:BCR	
SRR10298819_assembly.fasta	1	111728	112450	-	BAER	1-723/723	===============	0/0	100.00	98.48	megares	MEG_1191	Multi-compound:Drug_and_biocide_and_metal_resistance:Drug_and_biocide_and_metal_RND_efflux_regulator:BAER	
SRR10298819_assembly.fasta	1	112447	113850	-	BAES	1-1404/1404	===============	0/0	100.00	99.22	megares	MEG_1194	Multi-compound:Drug_and_biocide_and_metal_resistance:Drug_and_biocide_and_metal_RND_efflux_regulator:BAES	
SRR10298819_assembly.fasta	1	115259	118339	-	MDTC	1-3081/3081	===============	0/0	100.00	99.35	megares	MEG_3750	Multi-compound:Drug_and_biocide_and_metal_resistance:Drug_and_biocide_and_metal_RND_efflux_pumps:MDTC	
SRR10298819_assembly.fasta	1	118340	121462	-	MDTB	1-3123/3123	===============	0/0	100.00	98.85	megares	MEG_3748	Multi-compound:Drug_and_biocide_and_metal_resistance:Drug_and_biocide_and_metal_RND_efflux_pumps:MDTB	
SRR10298819_assembly.fasta	1	121462	122703	-	MDTA	1-1242/1242	===============	0/0	100.00	99.19	megares	MEG_3744	Multi-compound:Drug_and_biocide_and_metal_resistance:Drug_and_biocide_and_metal_RND_efflux_pumps:MDTA	
SRR10298819_assembly.fasta	1	242383	243807	+	MDTK	1-1425/1425	===============	0/0	100.00	98.81	megares	MEG_3760	Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_MATE_efflux_pumps:MDTK	
SRR10298819_assembly.fasta	1	573730	575093	-	MDTK	1-1364/1374	========/======	2/2	99.20	80.66	megares	MEG_3759	Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_MATE_efflux_pumps:MDTK	
SRR10298819_assembly.fasta	1	668819	669174	-	MARA	1-356/390	==============.	0/0	91.28	89.61	megares	MEG_3662	Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_RND_efflux_regulator:MARA	
SRR10298819_assembly.fasta	1	669189	669621	-	MARR	2-434/435	===============	0/0	99.54	82.22	megares	MEG_3663	Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_RND_efflux_regulator:MARR	
SRR10298819_assembly.fasta	1	774539	774976	+	AAC6-PRIME	1-438/438	===============	0/0	100.00	96.80	megares	MEG_296	Drugs:Aminoglycosides:Aminoglycoside_N-acetyltransferases:AAC6-PRIME	
SRR10298819_assembly.fasta	1	931604	932017	+	HNS	1-414/414	===============	0/0	100.00	88.89	megares	MEG_3271	Drugs:Multi-drug_resistance:Multi-drug_RND_efflux_pumps:HNS	
SRR10298819_assembly.fasta	1	1145138	1145860	-	SDIA	1-723/723	===============	0/0	100.00	99.31	megares	MEG_6176	Drugs:Multi-drug_resistance:Multi-drug_RND_efflux_pumps:SDIA	
