#FILE	NUM_FOUND	AAC6-PRIME	ACRA	ACRB	ACRD	AMPH	ANT3-DPRIME	BACA	BAER	BAES	BCR	CMY	CPXAR	CRP	DFRA	EMRA	EMRB	EMRD	EMRR	FLOR	FOSA	GESA	GESB	GESC	HNS	KDPE	MARA	MARR	MDTA	MDTB	MDTC	MDTK	MSBA	PBP2	PMRG	QNRS	RAMA	ROBA	SDIA	SOXS	SULI	SULII	TETA	YOGI
SRR5360696_contigs.fasta	33	100.00	100.00	99.40	100.00	100.00	.	99.39	100.00	100.00	100.00	.	100.00;99.49	100.00	.	99.91	100.00	99.50	100.00	.	.	100.00	100.00	100.00	100.00	99.12	91.28	99.54	100.00	100.00	100.00	100.00;99.20	100.00	99.95	100.00	.	.	100.00	100.00	99.69	.	.	.	99.70
SRR5574804_contigs.fasta	36	100.00	100.00	99.40	100.00	100.00	.	99.39	100.00	100.00	100.00	100.00	100.00;99.49	100.00	.	99.91	100.00	99.50	100.00	.	.	100.00	100.00	100.00	100.00	99.12	91.28	99.54	100.00	100.00	100.00	100.00;99.20	100.00	100.00	100.00	.	.	100.00	100.00	99.69	.	100.00	100.00	99.70
SRR5574805_contigs.fasta	33	100.00	100.00	99.40	100.00	100.00	.	99.39	100.00	100.00	100.00	.	100.00;99.49	100.00	.	99.91	100.00	99.50	100.00	.	.	100.00	100.00	100.00	100.00	99.12	91.28	99.54	100.00	100.00	100.00	99.20;100.00	100.00	100.00	100.00	.	.	100.00	100.00	99.69	.	.	.	99.70
SRR5574821_contigs.fasta	41	100.00	100.00	99.40	100.00	100.00	97.92	99.39	100.00	100.00	99.83	.	99.49;100.00	100.00	100.00	99.91	100.00	99.50	100.00	100.00	100.00	100.00	100.00	100.00	100.00	99.12	91.28	99.54	100.00	100.00	100.00	99.20;100.00	100.00	100.00	100.00	100.00	94.67	100.00	100.00	99.69	100.00	.	100.00	99.70
SRR5574822_contigs.fasta	33	100.00	100.00	99.40	100.00	100.00	.	99.39	100.00	100.00	100.00	.	100.00;99.49	100.00	.	99.74	100.00	99.50	100.00	.	.	100.00	100.00	100.00	100.00	99.12	100.00	99.54	100.00	100.00	100.00	99.20;100.00	100.00	100.00	100.00	.	.	100.00	100.00	99.69	.	.	.	99.70
SRR5574823_contigs.fasta	34	100.00	100.00	99.40	100.00	100.00	.	99.39	100.00	100.00	99.83	.	100.00;99.49	100.00	.	99.91	100.00	99.50	100.00	.	.	100.00	100.00	100.00	100.00	99.12	91.28	99.54	100.00	100.00	100.00	99.20;100.00	100.00	100.00	100.00	.	94.67	100.00	100.00	99.69	.	.	.	99.70
SRR5574829_contigs.fasta	33	100.00	100.00	99.40	100.00	.	.	99.39	100.00	100.00	99.83	.	100.00;99.49	100.00	.	99.91	99.81	99.50	100.00	.	.	100.00	100.00	100.00	100.00	99.12	91.28	99.54	99.76	100.00	100.00	99.20;100.00	100.00	100.00	100.00	.	94.67	100.00	100.00	99.69	.	.	.	99.70
SRR5574830_contigs.fasta	33	100.00	100.00	99.40	100.00	100.00	.	99.39	100.00	100.00	100.00	.	99.49;100.00	100.00	.	99.91	100.00	99.50	100.00	.	.	100.00	100.00	100.00	100.00	99.12	91.28	99.54	100.00	100.00	100.00	99.20;100.00	100.00	100.00	100.00	.	.	100.00	100.00	99.69	.	.	.	99.70
SRR5574834_contigs.fasta	34	100.00	100.00	99.40	100.00	100.00	.	99.39	100.00	100.00	100.00	.	99.49;100.00	100.00	.	99.91	100.00	99.50	100.00	.	.	100.00	100.00	100.00	100.00	99.12	91.28	99.54	100.00	100.00	100.00	99.20;100.00	100.00	100.00	100.00	.	94.67	100.00	100.00	99.69	.	.	.	99.70
SRR5574838_contigs.fasta	33	100.00	100.00	99.40	100.00	100.00	.	99.39	100.00	100.00	100.00	.	99.49;100.00	100.00	.	99.91	100.00	99.50	100.00	.	.	100.00	100.00	100.00	100.00	99.12	91.28	99.54	100.00	100.00	100.00	100.00;99.20	100.00	99.95	100.00	.	.	100.00	100.00	99.69	.	.	.	99.70
