#FILE	NUM_FOUND	AAC3	AAC6-PRIME	ACRA	ACRB	ACRD	AMPH	ANT3-DPRIME	APH3-DPRIME	APH3-PRIME	APH4	APH6	BACA	BAER	BAES	BCR	BLE	CARB	CMLA	CMY	CPXAR	CRP	CTX	DFRA	EMRA	EMRB	EMRD	EMRR	ERMB	FLOR	FOSA	GESA	GESB	GESC	HNS	KDPE	MARA	MARR	MDTA	MDTB	MDTC	MDTK	MPHA	MSBA	PBP2	PMRG	QACL	QNRA	QNRB	RAMA	ROBA	SDIA	SOXS	SULI	SULII	TEM	TETA	TETB	TETM	YOGI
SRR10298819_assembly.fasta	33	.	100.00	100.00	99.40	100.00	100.00	.	.	.	.	.	99.39	100.00	100.00	100.00	.	.	.	.	100.00;99.49	100.00	.	.	99.91	100.00	99.50	100.00	.	.	.	100.00	100.00	100.00	100.00	92.77	91.28	99.54	100.00	100.00	100.00	100.00;99.20	.	100.00	99.95	100.00	.	.	.	.	100.00	100.00	99.69	.	.	.	.	.	.	99.70
SRR10512520_assembly.fasta	33	.	100.00	100.00	99.40	100.00	100.00	.	.	.	.	.	99.39	100.00	100.00	100.00	.	.	.	.	100.00;99.49	100.00	.	.	99.91	100.00	99.50	100.00	.	.	.	100.00	100.00	.	100.00	99.26	100.00	99.54	100.00	100.00	100.00	99.20;100.00	.	100.00	100.00	100.00	.	.	.	94.67	100.00	100.00	99.69	.	.	.	.	.	.	99.82
SRR10963169_assembly.fasta	33	.	100.00	100.00	99.40	100.00	.	.	.	.	.	.	99.39	100.00	100.00	100.00	.	.	.	.	100.00;99.49	100.00	.	.	99.91	100.00	99.50	100.00	.	.	.	100.00	100.00	100.00	100.00	93.95	91.28	99.54	100.00	100.00	100.00	100.00;99.20	.	100.00	100.00	100.00	.	.	.	94.67	100.00	100.00	99.69	.	.	.	.	.	.	99.70
SRR10995705_assembly.fasta	26	.	100.00	100.00	99.40	100.00	.	.	.	.	.	.	99.39	98.20	100.00	.	.	.	.	.	99.49;100.00	100.00	.	.	99.91	99.81	99.50	100.00	.	.	.	.	.	.	100.00	.	100.00	99.54	99.76	100.00	100.00	.	.	100.00	99.95	100.00	.	.	.	94.67	100.00	100.00	98.77	.	.	.	.	.	.	.
SRR10995706_assembly.fasta	26	.	100.00	100.00	99.40	100.00	.	.	.	.	.	.	99.39	98.20	100.00	.	.	.	.	.	99.49;100.00	100.00	.	.	99.91	99.81	99.50	100.00	.	.	.	.	.	.	100.00	.	100.00	99.54	99.76	100.00	100.00	.	.	100.00	99.95	100.00	.	.	.	94.67	100.00	100.00	98.77	.	.	.	.	.	.	.
SRR11068400_assembly.fasta	38	.	100.00	100.00	99.40	100.00	100.00	.	86.84	.	.	.	99.39	100.00	100.00	100.00	.	.	.	.	100.00;99.49	100.00	100.00	.	99.91	100.00	99.50	100.00	.	.	.	100.00	100.00	100.00	100.00	93.81	91.28	99.54	100.00	100.00	100.00	100.00;99.20	.	100.00	100.00	100.00	.	.	.	94.67	100.00	100.00	99.69	.	100.00	.	100.00	.	.	99.82
SRR11068401_assembly.fasta	33	.	100.00	100.00	99.40	100.00	.	.	.	.	.	.	99.39	100.00	100.00	99.83	.	.	.	.	100.00;99.49	100.00	.	.	99.91	99.81	99.50	100.00	.	.	.	100.00	100.00	100.00	100.00	93.95	91.28	99.54	99.76	100.00	100.00	99.20;100.00	.	100.00	100.00	100.00	.	.	.	94.67	100.00	100.00	99.69	.	.	.	.	.	.	99.70
SRR11319451_assembly.fasta	34	.	100.00	100.00	99.40	100.00	100.00	.	.	.	.	.	99.39	100.00	100.00	100.00	.	.	.	.	99.49;100.00	100.00	.	.	99.91	100.00	99.50	100.00	.	.	.	100.00	100.00	100.00	100.00	95.58	100.00	99.54	100.00	100.00	100.00	99.20;100.00	.	100.00	100.00	100.00	.	.	.	94.67	100.00	100.00	99.69	.	.	.	.	.	.	99.70
SRR11319452_assembly.fasta	26	.	100.00	100.00	99.40	100.00	.	.	.	.	.	.	99.39	98.20	100.00	.	.	.	.	.	99.49;100.00	100.00	.	.	99.91	99.81	99.50	100.00	.	.	.	.	.	.	100.00	.	100.00	99.54	99.76	100.00	100.00	.	.	100.00	99.95	100.00	.	.	.	94.67	100.00	100.00	98.77	.	.	.	.	.	.	.
SRR12271055_assembly.fasta	36	.	100.00	100.00	99.40	100.00	100.00	.	100.00	.	.	88.53	99.39	100.00	100.00	100.00	.	.	.	.	100.00;99.49	100.00	.	.	99.91	100.00	99.50	100.00	.	.	.	100.00	100.00	100.00	100.00	96.61	91.28	99.54	100.00	100.00	100.00	100.00;99.20	.	100.00	100.00	100.00	.	.	.	94.67	100.00	100.00	99.69	.	.	.	.	.	.	99.82
SRR12641661_assembly.fasta	33	.	100.00	100.00	99.40	100.00	100.00	.	.	.	.	.	99.39	100.00	100.00	100.00	.	.	.	.	100.00;99.49	100.00	.	.	99.91	100.00	99.50	100.00	.	.	.	100.00	100.00	100.00	100.00	93.95	91.28	99.54	100.00	100.00	100.00	100.00;99.20	.	100.00	99.95	100.00	.	.	.	.	100.00	100.00	99.69	.	.	.	.	.	.	99.70
SRR12739110_assembly.fasta	33	.	100.00	100.00	99.40	100.00	100.00	.	.	.	.	.	99.39	100.00	100.00	100.00	.	.	.	.	100.00;99.49	100.00	.	.	99.91	100.00	99.50	100.00	.	.	.	100.00	100.00	100.00	100.00	99.12	91.28	99.54	100.00	100.00	100.00	100.00;99.20	.	100.00	100.00	100.00	.	.	.	.	100.00	100.00	99.69	.	.	.	.	.	.	99.70
