#FILE	NUM_FOUND	astA	avrA	cdtB	csgA	csgB	csgC	csgD	csgE	csgF	csgG	entA	entB	faeC	faeD	faeE	fepC	fepG	fimC	fimD	fimF	fimH	fimI	fyuA	gogB	grvA	invA	invB	invC	invE	invF	invG	invH	invI	invJ	irp1	irp2	iucA	iucB	iucC	iucD	iutA	lpfA	lpfB	lpfC	lpfD	lpfE	mgtB	mgtC	mig-14	misL	ompA	orgA	orgB	orgC	pefA	pefB	pefC	pefD	pipB	pipB2	prgH	prgI	prgJ	prgK	ratB	rck	shdA	sicA	sicP	sifA	sifB	sinH	sipA/sspA	sipB/sspB	sipC/sspC	sipD	slrP	sodCI	sopA	sopB/sigD	sopD	sopD2	sopE2	spaO	spaP	spaQ	spaR	spaS	spiC/ssaB	sptP	spvB	spvC	spvR	ssaC	ssaD	ssaE	ssaG	ssaH	ssaI	ssaJ	ssaK	ssaL	ssaM	ssaN	ssaO	ssaP	ssaQ	ssaR	ssaS	ssaT	ssaU	ssaV	sscA	sscB	sseA	sseB	sseC	sseD	sseE	sseF	sseG	sseI/srfH	sseJ	sseK1	sseK2	sseL	sspH1	sspH2	steA	steB	steC	tcpC	ybtA	ybtE	ybtP	ybtQ	ybtS	ybtT	ybtU	ybtX
SRR10298819_assembly.fasta	112	.	100.00	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	97.46	99.18	.	.	.	.	91.54	100.00	100.00	100.00	100.00	100.00	.	.	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	.	.	.	.	.	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	100.00	100.00	100.00	100.00	88.14	100.00	100.00	100.00	100.00	98.13	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	100.00	.	100.00	100.00	100.00	100.00	.	.	.	.	.	.	.	.	.
SRR10512520_assembly.fasta	103	.	100.00	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	97.46	99.18	.	.	.	.	91.54	100.00	100.00	100.00	100.00	100.00	.	.	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	.	.	.	.	.	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	.	.	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	.	100.00	100.00	100.00	100.00	99.95	100.00	100.00	100.00	100.00	98.69	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	.	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	100.00	100.00	100.00	100.00	.	100.00	100.00	100.00	100.00	.	.	.	.	.	.	.	.	.
SRR10963169_assembly.fasta	105	.	99.89	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	97.46	99.18	.	.	.	96.45	91.54	100.00	100.00	100.00	100.00	100.00	.	100.00	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	.	.	.	.	.	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	.	.	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	98.69	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	.	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	99.92	100.00	.	100.00	.	100.00	100.00	100.00	100.00	.	.	.	.	.	.	.	.	.
SRR10995705_assembly.fasta	88	.	.	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	.	.	.	.	96.57	93.35	99.57	100.00	99.81	100.00	100.00	.	99.40	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	.	100.00	99.86	.	.	100.00	100.00	97.65	99.12	.	.	.	.	.	98.58	100.00	95.47	100.00	100.00	.	.	.	100.00	100.00	.	.	.	99.27	100.00	100.00	99.03	99.74	.	.	99.58	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00	96.71	100.00	100.00	97.99	100.00	100.00	99.80	97.29	100.00	99.74	99.20	99.48	100.00	100.00	100.00	99.43	100.00	100.00	100.00	99.69	100.00	99.73	.	100.00	95.02	99.86	100.00	100.00	100.00	.	99.16	.	.	96.84	100.00	.	.	.	.	.	.	.	.	.	.
SRR10995706_assembly.fasta	88	.	.	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	.	.	.	.	96.57	93.35	99.57	100.00	99.81	100.00	100.00	.	99.40	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	.	100.00	99.86	.	.	100.00	100.00	97.65	99.12	.	.	.	.	.	98.58	100.00	95.47	100.00	100.00	.	.	.	100.00	100.00	.	.	.	99.27	100.00	100.00	99.03	99.74	.	.	99.58	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00	96.71	100.00	100.00	97.99	100.00	100.00	99.80	97.29	100.00	99.74	99.20	99.48	100.00	100.00	100.00	99.43	100.00	100.00	100.00	99.69	100.00	99.73	.	100.00	95.02	99.86	100.00	100.00	100.00	.	99.16	.	.	96.84	100.00	.	.	.	.	.	.	.	.	.	.
SRR11068400_assembly.fasta	100	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	97.46	99.18	91.58	96.60	89.83	96.45	91.54	100.00	100.00	99.81	100.00	100.00	.	.	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	.	.	.	100.00	100.00	100.00	100.00	100.00	100.00	99.99	.	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	99.03	98.69	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	.	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	100.00	.	.	100.00	.	.	100.00	100.00	100.00	.	.	.	.	.	.	.	.	.
SRR11068401_assembly.fasta	98	.	99.89	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	97.46	99.18	.	.	.	96.45	91.54	100.00	100.00	99.81	100.00	100.00	.	.	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	.	100.00	100.00	100.00	99.51	100.00	100.00	100.00	100.00	.	.	.	.	100.00	100.00	100.00	100.00	100.00	100.00	99.97	.	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	99.03	98.69	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	.	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	100.00	.	.	100.00	100.00	.	100.00	100.00	100.00	.	.	.	.	.	.	.	.	.
SRR11319451_assembly.fasta	102	.	99.89	.	96.05	100.00	100.00	100.00	100.00	100.00	100.00	.	99.18	.	.	.	96.45	91.54	100.00	100.00	100.00	100.00	100.00	.	.	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	.	.	.	.	.	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	.	.	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	98.94	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	98.69	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	.	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	100.00	.	100.00	100.00	.	.	100.00	100.00	100.00	.	.	.	.	.	.	.	.	.
SRR11319452_assembly.fasta	88	.	.	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	.	.	.	.	96.57	93.35	99.57	100.00	99.81	100.00	100.00	.	99.40	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	.	100.00	99.86	.	.	100.00	100.00	97.65	99.12	.	.	.	.	.	98.58	100.00	95.47	100.00	100.00	.	.	.	100.00	100.00	.	.	.	99.27	100.00	100.00	99.03	99.74	.	.	99.58	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00	96.71	100.00	100.00	97.99	100.00	100.00	99.80	97.29	100.00	99.74	99.20	99.48	100.00	100.00	100.00	99.43	100.00	100.00	100.00	99.69	100.00	99.73	.	100.00	95.02	99.86	100.00	100.00	100.00	.	99.16	.	.	96.84	100.00	.	.	.	.	.	.	.	.	.	.
SRR12271055_assembly.fasta	104	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	97.46	.	91.58	96.60	89.83	96.45	91.54	100.00	100.00	99.81	100.00	100.00	.	.	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	.	100.00	100.00	100.00	98.80	99.96	.	.	.	.	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	.	.	.	100.00	100.00	100.00	100.00	100.00	100.00	99.99	.	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	99.03	98.69	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	.	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	100.00	.	.	100.00	.	.	100.00	100.00	100.00	.	.	.	.	.	.	.	.	.
