Sample name	Output directory	Input files	O antigen prediction	H1 antigen prediction(fliC)	H2 antigen prediction(fljB)	Predicted identification	Predicted antigenic profile	Predicted serotype	Note
SRR10037210_contigs.fasta	/gpfs/scratch/smk459/554/dog/2_assemblies/SRR10037210_contigs.fasta_seqsero	SRR10037210_contigs.fasta	9	g,m	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,m:-	Enteritidis	Detected Sdf I that is characteristic of commonly circulating strains of serotype Enteritidis. 
Sample name	Output directory	Input files	O antigen prediction	H1 antigen prediction(fliC)	H2 antigen prediction(fljB)	Predicted identification	Predicted antigenic profile	Predicted serotype	Note
SRR10298819_contigs.fasta	/gpfs/scratch/smk459/554/dog/2_assemblies/SRR10298819_contigs.fasta_seqsero	SRR10298819_contigs.fasta	9	g,m	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,m:-	Enteritidis	Detected Sdf I that is characteristic of commonly circulating strains of serotype Enteritidis. 
Sample name	Output directory	Input files	O antigen prediction	H1 antigen prediction(fliC)	H2 antigen prediction(fljB)	Predicted identification	Predicted antigenic profile	Predicted serotype	Note
SRR10512520_contigs.fasta	/gpfs/scratch/smk459/554/dog/2_assemblies/SRR10512520_contigs.fasta_seqsero	SRR10512520_contigs.fasta	7	y	e,n,x	Salmonella enterica subspecies enterica (subspecies I)	7:y:e,n,x	Hartford	
Sample name	Output directory	Input files	O antigen prediction	H1 antigen prediction(fliC)	H2 antigen prediction(fljB)	Predicted identification	Predicted antigenic profile	Predicted serotype	Note
SRR10947452_contigs.fasta	/gpfs/scratch/smk459/554/dog/2_assemblies/SRR10947452_contigs.fasta_seqsero	SRR10947452_contigs.fasta	4	i	1,2	Salmonella enterica subspecies enterica (subspecies I)	4:i:1,2	Typhimurium	
Sample name	Output directory	Input files	O antigen prediction	H1 antigen prediction(fliC)	H2 antigen prediction(fljB)	Predicted identification	Predicted antigenic profile	Predicted serotype	Note
SRR10947455_contigs.fasta	/gpfs/scratch/smk459/554/dog/2_assemblies/SRR10947455_contigs.fasta_seqsero	SRR10947455_contigs.fasta	7	e,h	e,n,z15	Salmonella enterica subspecies enterica (subspecies I)	7:e,h:e,n,z15	Braenderup	
Sample name	Output directory	Input files	O antigen prediction	H1 antigen prediction(fliC)	H2 antigen prediction(fljB)	Predicted identification	Predicted antigenic profile	Predicted serotype	Note
SRR10947519_contigs.fasta	/gpfs/scratch/smk459/554/dog/2_assemblies/SRR10947519_contigs.fasta_seqsero	SRR10947519_contigs.fasta	48	i	z	Salmonella enterica subspecies diarizonae (subspecies IIIb)	48:i:z	IIIb 48:i:z	
Sample name	Output directory	Input files	O antigen prediction	H1 antigen prediction(fliC)	H2 antigen prediction(fljB)	Predicted identification	Predicted antigenic profile	Predicted serotype	Note
SRR10947526_contigs.fasta	/gpfs/scratch/smk459/554/dog/2_assemblies/SRR10947526_contigs.fasta_seqsero	SRR10947526_contigs.fasta	40	z4,z32	-	Salmonella enterica subspecies arizonae (subspecies IIIa)	40:z4,z32:-	IIIa 40:z4,z32:-	
Sample name	Output directory	Input files	O antigen prediction	H1 antigen prediction(fliC)	H2 antigen prediction(fljB)	Predicted identification	Predicted antigenic profile	Predicted serotype	Note
SRR10947711_contigs.fasta	/gpfs/scratch/smk459/554/dog/2_assemblies/SRR10947711_contigs.fasta_seqsero	SRR10947711_contigs.fasta	7	z10	e,n,z15	Salmonella enterica subspecies enterica (subspecies I)	7:z10:e,n,z15	Mbandaka	
Sample name	Output directory	Input files	O antigen prediction	H1 antigen prediction(fliC)	H2 antigen prediction(fljB)	Predicted identification	Predicted antigenic profile	Predicted serotype	Note
SRR10963169_contigs.fasta	/gpfs/scratch/smk459/554/dog/2_assemblies/SRR10963169_contigs.fasta_seqsero	SRR10963169_contigs.fasta	7	e,h	1,6	Salmonella enterica subspecies enterica (subspecies I)	7:e,h:1,6	Norwich	
Sample name	Output directory	Input files	O antigen prediction	H1 antigen prediction(fliC)	H2 antigen prediction(fljB)	Predicted identification	Predicted antigenic profile	Predicted serotype	Note
