#FILE	NUM_FOUND	AAC3	AAC6-PRIME	ACRA	ACRB	ACRD	AMPH	ANT3-DPRIME	APH3-DPRIME	APH3-PRIME	APH4	APH6	BACA	BAER	BAES	BCR	CARB	CMY	CPXAR	CRP	CTX	EMRA	EMRB	EMRD	EMRR	ERMB	FLOR	FOSA	GESA	GESB	GESC	HNS	KDPE	MARA	MARR	MDTA	MDTB	MDTC	MDTK	MPHA	MSBA	PBP2	PMRG	QNRB	RAMA	ROBA	SDIA	SOXS	SULI	SULII	TEM	TETA	TETB	TETD	TETG	YOGI
SRR10037210_contigs.fasta	33	.	100.00	100.00	99.40	100.00	100.00	.	.	.	.	.	99.39	100.00	100.00	100.00	.	.	100.00;99.49	100.00	.	99.91	100.00	99.50	100.00	.	.	.	100.00	100.00	100.00	100.00	99.12	91.28	99.54	100.00	100.00	100.00	99.20;100.00	.	100.00	100.00	100.00	.	.	100.00	100.00	99.69	.	.	.	.	.	.	.	99.70
SRR10298819_contigs.fasta	33	.	100.00	100.00	99.40	100.00	100.00	.	.	.	.	.	99.39	100.00	100.00	100.00	.	.	100.00;99.49	100.00	.	99.91	100.00	99.50	100.00	.	.	.	100.00	100.00	100.00	100.00	99.12	91.28	99.54	100.00	100.00	100.00	100.00;99.20	.	100.00	99.95	100.00	.	.	100.00	100.00	99.69	.	.	.	.	.	.	.	99.70
SRR10512520_contigs.fasta	33	.	100.00	100.00	99.40	100.00	100.00	.	.	.	.	.	99.39	100.00	100.00	100.00	.	.	100.00;99.49	100.00	.	99.91	100.00	99.50	100.00	.	.	.	100.00	100.00	.	100.00	99.26	100.00	99.54	100.00	100.00	100.00	99.20;100.00	.	100.00	100.00	100.00	.	94.67	100.00	100.00	99.69	.	.	.	.	.	.	.	99.82
SRR10947452_contigs.fasta	33	.	100.00	100.00	99.40	100.00	100.00	.	.	.	.	.	99.39	100.00	100.00	100.00	.	.	100.00;99.49	100.00	.	99.91	100.00	99.50	100.00	.	.	.	100.00	100.00	100.00	100.00	99.12	91.28	99.54	100.00	100.00	100.00	99.20;100.00	.	100.00	100.00	99.83	.	.	100.00	100.00	99.69	.	.	.	.	.	.	.	99.70
SRR10947455_contigs.fasta	32	.	100.00	100.00	99.40	100.00	.	.	.	.	.	.	99.39	100.00	100.00	100.00	.	.	99.49;100.00	100.00	.	99.91	100.00	99.50	100.00	.	.	.	100.00	100.00	100.00	100.00	99.12	91.28	99.54	100.00	100.00	100.00	100.00;99.20	.	100.00	100.00	100.00	.	.	100.00	100.00	99.69	.	.	.	.	.	.	.	99.70
SRR10947519_contigs.fasta	28	.	100.00	100.00	99.49	100.00	.	.	.	.	.	.	99.39	98.20	100.00	100.00	.	.	100.00;99.49	100.00	99.03	99.91	99.94	99.50	100.00	.	.	.	.	.	.	100.00	99.26	100.00	99.54	100.00	100.00	100.00	.	.	100.00	100.00	100.00	.	.	100.00	100.00	98.77	.	.	.	.	.	.	.	.
SRR10947526_contigs.fasta	25	.	.	100.00	99.94	100.00	.	.	.	.	.	.	99.39	98.20	100.00	.	.	.	99.49;100.00	100.00	.	100.00	100.00	99.50	100.00	.	.	.	.	.	.	100.00	.	100.00	99.54	99.76	100.00	100.00	99.27	.	100.00	100.00	99.67	.	.	100.00	100.00	99.69	.	.	.	.	.	.	.	.
SRR10947711_contigs.fasta	34	.	100.00	100.00	99.40	100.00	100.00	.	.	.	.	.	99.39	100.00	100.00	100.00	.	.	100.00;99.49	100.00	.	99.91	100.00	99.50	100.00	.	.	.	100.00	100.00	100.00	100.00	99.12	91.28	99.54	100.00	100.00	100.00	99.20;100.00	.	100.00	100.00	100.00	.	94.67	100.00	100.00	99.69	.	.	.	.	.	.	.	99.82
SRR10963169_contigs.fasta	33	.	100.00	100.00	99.40	100.00	.	.	.	.	.	.	99.39	100.00	100.00	100.00	.	.	100.00;99.49	100.00	.	99.91	100.00	99.50	100.00	.	.	.	100.00	100.00	100.00	100.00	99.12	91.28	99.54	100.00	100.00	100.00	100.00;99.20	.	100.00	100.00	100.00	.	94.67	100.00	100.00	99.69	.	.	.	.	.	.	.	99.70
SRR10992313_contigs.fasta	34	.	100.00	100.00	99.40	100.00	100.00	.	.	.	.	.	99.39	100.00	100.00	99.83	.	.	99.49;100.00	100.00	.	99.91	100.00	99.50	100.00	.	.	.	100.00	100.00	100.00	100.00	99.12	91.28	99.54	100.00	100.00	100.00	99.20;100.00	.	100.00	100.00	100.00	.	94.67	100.00	100.00	99.69	.	.	.	.	.	.	.	99.82
